train/critic_loss,epoch,test/ag_g_dist,stats_g/mean,test/success_rate,test/mean_Q,stats_o/mean,test/episode,stats_o/std,train/episode,train/success_rate,stats_g/std
0.0007291103,0,0.15740974,0.8968937,0.041666666666666664,-1.3207836,0.26361924,20.0,0.030279705,20.0,0.008333333333333333,0.0974463
0.0005456658,1,0.15069446,0.9018138,0.008333333333333333,-1.6307617,0.2647052,40.0,0.027537465,40.0,0.008333333333333333,0.08779826
0.00045648287,2,0.15516786,0.90351766,0.025000000000000005,-1.9883286,0.26504913,60.0,0.026318073,60.0,0.008333333333333333,0.08362666
0.00040090596,3,0.15478198,0.9049453,0.016666666666666666,-2.388408,0.26524657,80.0,0.025351563,80.0,0.016666666666666666,0.08018553
0.00036461325,4,0.14706714,0.90555525,0.016666666666666666,-2.7848303,0.26538748,100.0,0.024676004,100.0,0.025000000000000005,0.077825546
0.00031393135,5,0.1547594,0.9055567,0.03333333333333333,-3.2008867,0.2654541,120.0,0.024222529,120.0,0.008333333333333333,0.07656625
0.0002717905,6,0.1466414,0.90573525,0.05833333333333333,-3.6151493,0.26553792,140.0,0.023946276,140.0,0.03333333333333333,0.075633205
0.00024929593,7,0.1373326,0.9062493,0.08333333333333333,-4.0268316,0.26567215,160.0,0.02362442,160.0,0.008333333333333333,0.07441041
0.00020787313,8,0.1509765,0.9058791,0.016666666666666666,-4.4509826,0.26558864,180.0,0.023452744,180.0,0.025000000000000005,0.07376996
0.00021866157,9,0.15114537,0.90609336,0.025000000000000005,-4.858501,0.26563323,200.0,0.023308167,200.0,0.05000000000000001,0.07330609
